,tweet_id,sentiment,content,processed_corpus
4,1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","['dannycastillo', 'want', 'trade', 'someone', 'Houston', 'ticket', 'one']"
10,1956969456,neutral,cant fall asleep,"['cant', 'fall', 'asleep']"
22,1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,"['Topic', 'Maps', 'talk', 'Balisage', 'Markup', 'Conference', '2009', 'Program', 'online', 'http', '//tr.im/mL6Z', 'via', 'bobdc', 'topicmaps']"
31,1956975441,neutral,@cynthia_123 i cant sleep,"['cynthia_123', 'cant', 'sleep']"
32,1956975860,neutral,I missed the bl***y bus!!!!!!!!,"['missed', 'bl', 'bus']"
33,1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,"['feel', 'strong', 'contraction', 'want', 'go', 'http', '//plurk.com/p/wxidk']"
34,1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow,"['SoCal', 'stoked', 'maybe', '..', 'tomorrow']"
35,1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...,"['Screw', 'davidbrussee', 'week', '...']"
38,1956976557,neutral,has work this afternoon,"['work', 'afternoon']"
39,1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,"['GABBYiSACTiVE', 'Aw', 'would', 'unfollow', 'would', 'would', 'cry']"
48,1956979437,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.","['jakeboyd', 'oh', 'noooo', 'blow', 'tire', ""'re"", 'reaaaally', 'going', 'send', 'batman', 'smoke']"
49,1956979756,neutral,wnna take a bath!!!!,"['wnna', 'take', 'bath']"
50,1956979894,neutral,Chocolate milk is so much better through a straw. I lack said straw,"['Chocolate', 'milk', 'much', 'better', 'straw', 'lack', 'said', 'straw']"
53,1956980788,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","['Mennard', 'time', 'diff', ""'ve"", 'wrapped', 'day', 'day', 'stuff', 'havent', 'tweeting', 'talk', 'soon', 'must', 'sleep', '...', '6hrs']"
54,1956980883,neutral,@benballer  no way! damn that sucks B!  are you ok?,"['benballer', 'way', 'damn', 'suck', 'B', 'ok']"
57,1956981850,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,"['ramtops', 'recession', 'hotel', 'restructuring', 'account', 'done', 'add', 'bit', 'pressure', 'short', 'term', ""'ll"", 'cope']"
58,1956982075,neutral,@lostluna But I got dibs on Sulu...,"['lostluna', 'got', 'dibs', 'Sulu', '...']"
65,1956983467,neutral,At home alone with not much to do,"['home', 'alone', 'much']"
